거래년월일,거래량
2016-09-14,3240
2016-09-19,44730
2016-09-20,57679
2016-09-21,36830
2016-09-22,47970
2016-09-23,27455
2016-09-24,45695
2016-09-26,18345
2016-09-27,51156
2016-09-28,10820
2016-09-29,23640
2016-09-30,12880
2016-10-01,27419
2016-10-03,860
2016-10-05,3180
2016-10-06,7760
2016-10-07,7920
2016-10-08,10960
2016-10-10,2150
2016-10-11,875
2016-10-12,1650
2016-10-13,2740
2016-10-14,170
2016-10-17,460
2016-10-19,130
2016-10-20,530
2016-10-22,280
2016-10-24,670
2016-10-27,190
2016-11-04,110
2016-11-12,100
2016-11-18,130
2017-01-05,150
2017-01-07,420
2017-01-12,440
2017-01-14,340
2017-01-17,1090
2017-01-18,468
2017-01-19,840
2017-01-20,125
2017-01-25,987
2017-01-26,1861
2017-02-01,870
2017-02-02,4750
2017-02-03,570
2017-02-06,9050
2017-02-07,3025
2017-02-08,7445
2017-02-09,8614
2017-02-10,11818
2017-02-11,7025
2017-02-13,8945
2017-02-14,23396
2017-02-15,31250
2017-02-16,35310
2017-02-17,47543
2017-02-18,57275
2017-02-20,85610
2017-02-21,47844
2017-02-22,40595
2017-02-23,37930
2017-02-24,67615
2017-02-25,86425
2017-02-27,71860
2017-02-28,51972
2017-03-01,94427
2017-03-02,100305
2017-03-03,130303
2017-03-04,147595
2017-03-06,137148
2017-03-07,71953
2017-03-08,111980
2017-03-09,103067
2017-03-10,137089
2017-03-11,125149
2017-03-13,101476
2017-03-14,85559
2017-03-15,164681
2017-03-16,174183
2017-03-17,100554
2017-03-20,166567
2017-03-21,132933
2017-03-22,198485
2017-03-23,172949
2017-03-24,223649
2017-03-25,215269
2017-03-27,202461
2017-03-28,132494
2017-03-29,212644
2017-03-30,212957
2017-03-31,248583
2017-04-01,277722
2017-04-03,285621
2017-04-04,187367
2017-04-05,219284
2017-04-07,307360
2017-04-08,364459
2017-04-10,302466
2017-04-11,243483
2017-04-12,428542
2017-04-13,416454
2017-04-14,491840
2017-04-15,491690
2017-04-17,275810
2017-04-18,317425
2017-04-19,388930
2017-04-20,253392
2017-04-21,523001
2017-04-22,544436
2017-04-24,327212
2017-04-25,417838
2017-04-26,558244
2017-04-27,552202
2017-04-28,626380
2017-04-29,634833
2017-05-01,398903
2017-05-02,485768
2017-05-03,303862
2017-05-04,485556
2017-05-05,587162
2017-05-06,777105
2017-05-08,521153
2017-05-09,387627
2017-05-10,522485
2017-05-11,639981
2017-05-12,565683
2017-05-13,753227
2017-05-15,818885
2017-05-16,402877
2017-05-17,323570
2017-05-18,489817
2017-05-19,434777
2017-05-20,313814
2017-05-22,451751
2017-05-23,474793
2017-05-24,785991
2017-05-25,755055
2017-05-26,731737
2017-05-27,761192
2017-05-29,484010
2017-05-30,676198
2017-05-31,752891
2017-06-03,468248
2017-06-05,653866
2017-06-06,552128
2017-06-07,769998
2017-06-08,605827
2017-06-09,614864
2017-06-10,596958
2017-06-12,416899
2017-06-13,334307
2017-06-14,565936
2017-06-15,537160
2017-06-16,521480
2017-06-17,601200
2017-06-19,475553
2017-06-20,432569
2017-06-21,433685
2017-06-22,714201
2017-06-23,662643
2017-06-24,644508
2017-06-26,521655
2017-06-27,381775
2017-06-28,730219
2017-06-29,727643
2017-06-30,738520
2017-07-01,678715
2017-07-03,599870
2017-07-04,685425
2017-07-05,627906
2017-07-06,585580
2017-07-07,621660
2017-07-08,649779
2017-07-10,336881
2017-07-11,486027
2017-07-12,515824
2017-07-13,385031
2017-07-14,404510
2017-07-15,411400
2017-07-17,310000
2017-07-18,229225
2017-07-19,261125
2017-07-20,250001
2017-07-21,267838
2017-07-22,230245
2017-07-24,123740
2017-07-25,134820
2017-07-26,153325
2017-07-27,118460
2017-07-28,138785
2017-07-29,94655
2017-07-31,59500
2017-08-01,76510
2017-08-02,68922
2017-08-03,68924
2017-08-04,87265
2017-08-05,21860
2017-08-07,54590
2017-08-08,38430
2017-08-09,55925
2017-08-10,121471
2017-08-11,137563
2017-08-12,93455
2017-08-14,72663
2017-08-15,39965
2017-08-16,64720
2017-08-17,98563
2017-08-18,84185
2017-08-19,113495
2017-08-21,76950
2017-08-22,76435
2017-08-23,59367
2017-08-24,117225
2017-08-25,119815
2017-08-28,57420
2017-08-29,51300
2017-08-30,50845
2017-08-31,70685
2017-09-01,61470
2017-09-02,65504
2017-09-04,39860
2017-09-05,14215
2017-09-06,22570
2017-09-07,35735
2017-09-08,27480
2017-09-09,44650
2017-09-11,17950
2017-09-12,19510
2017-09-13,17070
2017-09-14,30468
2017-09-15,18950
2017-09-16,31035
2017-09-18,11085
2017-09-19,20423
2017-09-20,14255
2017-09-21,23189
2017-09-22,27419
2017-09-23,45593
2017-09-25,8040
2017-09-26,11677
2017-09-27,11350
2017-09-28,43072
2017-09-29,79120
2017-09-30,89715
2017-10-01,4930
2017-10-02,41825
2017-10-03,10980
2017-10-09,9350
2017-10-10,7090
2017-10-11,7020
2017-10-12,640
2017-10-13,7450
2017-10-14,6800
2017-10-17,1570
2017-10-18,100
2017-10-19,1440
2017-10-20,990
2017-10-21,3365
2017-10-25,60
2017-10-28,310
2017-11-02,60
2018-01-04,920
2018-01-05,260
2018-01-06,1030
2018-01-10,725
2018-01-12,695
2018-01-15,520
2018-01-16,315
2018-01-18,30
2018-01-20,370
2018-01-23,190
2018-01-24,90
2018-01-25,440
2018-01-26,1155
2018-01-27,900
2018-01-29,1400
2018-01-30,395
2018-01-31,4500
2018-02-01,4420
2018-02-02,4355
2018-02-03,6987
2018-02-05,2760
2018-02-07,7770
2018-02-08,9049
2018-02-09,8715
2018-02-10,19702
2018-02-12,31496
2018-02-13,50551
2018-02-14,40790
2018-02-15,5605
2018-02-19,45087
2018-02-20,59040
2018-02-21,53345
2018-02-23,67419
2018-02-24,86483
2018-02-26,75494
2018-02-27,52350
2018-02-28,53580
2018-03-01,68350
2018-03-02,101818
2018-03-03,96455
2018-03-05,77783
2018-03-06,57369
2018-03-07,70878
2018-03-08,103279
2018-03-09,53195
2018-03-10,89825
2018-03-12,66625
2018-03-13,49604
2018-03-14,70049
2018-03-15,88017
2018-03-16,77187
2018-03-17,127040
2018-03-19,72635
2018-03-20,40675
