ds,y
2016-07-07,569130.0
2016-07-08,0.0
2016-07-09,355489.0
2016-07-10,0.0
2016-07-11,286785.0
2016-07-12,468575.0
2016-07-13,418750.0
2016-07-14,301695.0
2016-07-15,341464.0
2016-07-16,51740.0
2016-07-17,0.0
2016-07-18,0.0
2016-07-19,251035.0
2016-07-20,212870.0
2016-07-21,257096.0
2016-07-22,72055.0
2016-07-23,135260.0
2016-07-24,0.0
2016-07-25,405779.0
2016-07-26,104680.0
2016-07-27,336015.0
2016-07-28,75775.0
2016-07-29,206721.0
2016-07-30,200522.0
2016-07-31,0.0
2016-08-01,0.0
2016-08-02,144167.0
2016-08-03,196637.0
2016-08-04,212465.0
2016-08-05,192655.0
2016-08-06,50169.0
2016-08-07,0.0
2016-08-08,299670.0
2016-08-09,203161.0
2016-08-10,269639.0
2016-08-11,244361.0
2016-08-12,0.0
2016-08-13,264013.0
2016-08-14,0.0
2016-08-15,289309.0
2016-08-16,218095.0
2016-08-17,231401.0
2016-08-18,220090.0
2016-08-19,224580.0
2016-08-20,194250.0
2016-08-21,0.0
2016-08-22,176295.0
2016-08-23,116815.0
2016-08-24,135760.0
2016-08-25,93044.0
2016-08-26,90140.0
2016-08-27,121364.0
2016-08-28,0.0
2016-08-29,87645.0
2016-08-30,65557.0
2016-08-31,54339.0
2016-09-01,54390.0
2016-09-02,39566.0
2016-09-03,53472.0
2016-09-04,0.0
2016-09-05,39057.0
2016-09-06,35125.0
2016-09-07,24635.0
2016-09-08,41753.0
2016-09-09,48883.0
2016-09-10,97695.0
2016-09-11,0.0
2016-09-12,115784.0
2016-09-13,42185.0
2016-09-14,3240.0
2016-09-15,0.0
2016-09-16,0.0
2016-09-17,0.0
2016-09-18,0.0
2016-09-19,44730.0
2016-09-20,57679.0
2016-09-21,36830.0
2016-09-22,47970.0
2016-09-23,27455.0
2016-09-24,45695.0
2016-09-25,0.0
2016-09-26,18345.0
2016-09-27,51156.0
2016-09-28,10820.0
2016-09-29,23640.0
2016-09-30,12880.0
2016-10-01,27419.0
2016-10-02,0.0
2016-10-03,860.0
2016-10-04,0.0
2016-10-05,3180.0
2016-10-06,7760.0
2016-10-07,7920.0
2016-10-08,10960.0
2016-10-09,0.0
2016-10-10,2150.0
2016-10-11,875.0
2016-10-12,1650.0
2016-10-13,2740.0
2016-10-14,170.0
2016-10-15,0.0
2016-10-16,0.0
2016-10-17,460.0
2016-10-18,0.0
2016-10-19,130.0
2016-10-20,530.0
2016-10-21,0.0
2016-10-22,280.0
2016-10-23,0.0
2016-10-24,670.0
2016-10-25,0.0
2016-10-26,0.0
2016-10-27,190.0
2016-10-28,0.0
2016-10-29,0.0
2016-10-30,0.0
2016-10-31,0.0
2016-11-01,0.0
2016-11-02,0.0
2016-11-03,0.0
2016-11-04,110.0
2016-11-05,0.0
2016-11-06,0.0
2016-11-07,0.0
2016-11-08,0.0
2016-11-09,0.0
2016-11-10,0.0
2016-11-11,0.0
2016-11-12,100.0
2016-11-13,0.0
2016-11-14,0.0
2016-11-15,0.0
2016-11-16,0.0
2016-11-17,0.0
2016-11-18,130.0
2016-11-19,0.0
2016-11-20,0.0
2016-11-21,0.0
2016-11-22,0.0
2016-11-23,0.0
2016-11-24,0.0
2016-11-25,0.0
2016-11-26,0.0
2016-11-27,0.0
2016-11-28,0.0
2016-11-29,0.0
2016-11-30,0.0
2016-12-01,0.0
2016-12-02,0.0
2016-12-03,0.0
2016-12-04,0.0
2016-12-05,0.0
2016-12-06,0.0
2016-12-07,0.0
2016-12-08,0.0
2016-12-09,0.0
2016-12-10,0.0
2016-12-11,0.0
2016-12-12,0.0
2016-12-13,0.0
2016-12-14,0.0
2016-12-15,0.0
2016-12-16,0.0
2016-12-17,0.0
2016-12-18,0.0
2016-12-19,0.0
2016-12-20,0.0
2016-12-21,0.0
2016-12-22,0.0
2016-12-23,0.0
2016-12-24,0.0
2016-12-25,0.0
2016-12-26,0.0
2016-12-27,0.0
2016-12-28,0.0
2016-12-29,0.0
2016-12-30,0.0
2016-12-31,0.0
2017-01-01,0.0
2017-01-02,0.0
2017-01-03,0.0
2017-01-04,0.0
2017-01-05,150.0
2017-01-06,0.0
2017-01-07,420.0
2017-01-08,0.0
2017-01-09,0.0
2017-01-10,0.0
2017-01-11,0.0
2017-01-12,440.0
2017-01-13,0.0
2017-01-14,340.0
2017-01-15,0.0
2017-01-16,0.0
2017-01-17,1090.0
2017-01-18,468.0
2017-01-19,840.0
2017-01-20,125.0
2017-01-21,0.0
2017-01-22,0.0
2017-01-23,0.0
2017-01-24,0.0
2017-01-25,987.0
2017-01-26,1861.0
2017-01-27,0.0
2017-01-28,0.0
2017-01-29,0.0
2017-01-30,0.0
2017-01-31,0.0
2017-02-01,870.0
2017-02-02,4750.0
2017-02-03,570.0
2017-02-04,0.0
2017-02-05,0.0
2017-02-06,9050.0
2017-02-07,3025.0
2017-02-08,7445.0
2017-02-09,8614.0
2017-02-10,11818.0
2017-02-11,7025.0
2017-02-12,0.0
2017-02-13,8945.0
2017-02-14,23396.0
2017-02-15,31250.0
2017-02-16,35310.0
2017-02-17,47543.0
2017-02-18,57275.0
2017-02-19,0.0
2017-02-20,85610.0
2017-02-21,47844.0
2017-02-22,40595.0
2017-02-23,37930.0
2017-02-24,67615.0
2017-02-25,86425.0
2017-02-26,0.0
2017-02-27,71860.0
2017-02-28,51972.0
2017-03-01,94427.0
2017-03-02,100305.0
2017-03-03,130303.0
2017-03-04,147595.0
2017-03-05,0.0
2017-03-06,137148.0
2017-03-07,71953.0
2017-03-08,111980.0
2017-03-09,103067.0
2017-03-10,137089.0
2017-03-11,125149.0
2017-03-12,0.0
2017-03-13,101476.0
2017-03-14,85559.0
2017-03-15,164681.0
2017-03-16,174183.0
2017-03-17,100554.0
2017-03-18,0.0
2017-03-19,0.0
2017-03-20,166567.0
2017-03-21,132933.0
2017-03-22,198485.0
2017-03-23,172949.0
2017-03-24,223649.0
2017-03-25,215269.0
2017-03-26,0.0
2017-03-27,202461.0
2017-03-28,132494.0
2017-03-29,212644.0
2017-03-30,212957.0
2017-03-31,248583.0
2017-04-01,277722.0
2017-04-02,0.0
2017-04-03,285621.0
2017-04-04,187367.0
2017-04-05,219284.0
2017-04-06,0.0
2017-04-07,307360.0
2017-04-08,364459.0
2017-04-09,0.0
2017-04-10,302466.0
2017-04-11,243483.0
2017-04-12,428542.0
2017-04-13,416454.0
2017-04-14,491840.0
2017-04-15,491690.0
2017-04-16,0.0
2017-04-17,275810.0
2017-04-18,317425.0
2017-04-19,388930.0
2017-04-20,253392.0
2017-04-21,523001.0
2017-04-22,544436.0
2017-04-23,0.0
2017-04-24,327212.0
2017-04-25,417838.0
2017-04-26,558244.0
2017-04-27,552202.0
2017-04-28,626380.0
2017-04-29,634833.0
2017-04-30,0.0
2017-05-01,398903.0
2017-05-02,485768.0
2017-05-03,303862.0
2017-05-04,485556.0
2017-05-05,587162.0
2017-05-06,777105.0
2017-05-07,0.0
2017-05-08,521153.0
2017-05-09,387627.0
2017-05-10,522485.0
2017-05-11,639981.0
2017-05-12,565683.0
2017-05-13,753227.0
2017-05-14,0.0
2017-05-15,818885.0
2017-05-16,402877.0
2017-05-17,323570.0
2017-05-18,489817.0
2017-05-19,434777.0
2017-05-20,313814.0
2017-05-21,0.0
2017-05-22,451751.0
2017-05-23,474793.0
2017-05-24,785991.0
2017-05-25,755055.0
2017-05-26,731737.0
2017-05-27,761192.0
2017-05-28,0.0
2017-05-29,484010.0
2017-05-30,676198.0
2017-05-31,752891.0
2017-06-01,0.0
2017-06-02,0.0
2017-06-03,468248.0
2017-06-04,0.0
2017-06-05,653866.0
2017-06-06,552128.0
2017-06-07,769998.0
2017-06-08,605827.0
2017-06-09,614864.0
2017-06-10,596958.0
2017-06-11,0.0
2017-06-12,416899.0
2017-06-13,334307.0
2017-06-14,565936.0
2017-06-15,537160.0
2017-06-16,521480.0
2017-06-17,601200.0
2017-06-18,0.0
2017-06-19,475553.0
2017-06-20,432569.0
2017-06-21,433685.0
2017-06-22,714201.0
2017-06-23,662643.0
2017-06-24,644508.0
2017-06-25,0.0
2017-06-26,521655.0
2017-06-27,381775.0
2017-06-28,730219.0
2017-06-29,727643.0
2017-06-30,738520.0
2017-07-01,678715.0
2017-07-02,0.0
2017-07-03,599870.0
2017-07-04,685425.0
2017-07-05,627906.0
2017-07-06,585580.0
2017-07-07,621660.0
2017-07-08,649779.0
2017-07-09,0.0
2017-07-10,336881.0
2017-07-11,486027.0
2017-07-12,515824.0
2017-07-13,385031.0
2017-07-14,404510.0
2017-07-15,411400.0
2017-07-16,0.0
2017-07-17,310000.0
2017-07-18,229225.0
2017-07-19,261125.0
2017-07-20,250001.0
2017-07-21,267838.0
2017-07-22,230245.0
2017-07-23,0.0
2017-07-24,123740.0
2017-07-25,134820.0
2017-07-26,153325.0
2017-07-27,118460.0
2017-07-28,138785.0
2017-07-29,94655.0
2017-07-30,0.0
2017-07-31,59500.0
2017-08-01,76510.0
2017-08-02,68922.0
2017-08-03,68924.0
2017-08-04,87265.0
2017-08-05,21860.0
2017-08-06,0.0
2017-08-07,54590.0
2017-08-08,38430.0
2017-08-09,55925.0
2017-08-10,121471.0
2017-08-11,137563.0
2017-08-12,93455.0
2017-08-13,0.0
2017-08-14,72663.0
2017-08-15,39965.0
2017-08-16,64720.0
2017-08-17,98563.0
2017-08-18,84185.0
2017-08-19,113495.0
2017-08-20,0.0
2017-08-21,76950.0
2017-08-22,76435.0
2017-08-23,59367.0
2017-08-24,117225.0
2017-08-25,119815.0
2017-08-26,0.0
2017-08-27,0.0
2017-08-28,57420.0
2017-08-29,51300.0
2017-08-30,50845.0
2017-08-31,70685.0
2017-09-01,61470.0
2017-09-02,65504.0
2017-09-03,0.0
2017-09-04,39860.0
2017-09-05,14215.0
2017-09-06,22570.0
2017-09-07,35735.0
2017-09-08,27480.0
2017-09-09,44650.0
2017-09-10,0.0
2017-09-11,17950.0
2017-09-12,19510.0
2017-09-13,17070.0
2017-09-14,30468.0
2017-09-15,18950.0
2017-09-16,31035.0
2017-09-17,0.0
2017-09-18,11085.0
2017-09-19,20423.0
2017-09-20,14255.0
2017-09-21,23189.0
2017-09-22,27419.0
2017-09-23,45593.0
2017-09-24,0.0
2017-09-25,8040.0
2017-09-26,11677.0
2017-09-27,11350.0
2017-09-28,43072.0
2017-09-29,79120.0
2017-09-30,89715.0
2017-10-01,4930.0
2017-10-02,41825.0
2017-10-03,10980.0
2017-10-04,0.0
2017-10-05,0.0
2017-10-06,0.0
2017-10-07,0.0
2017-10-08,0.0
2017-10-09,9350.0
2017-10-10,7090.0
2017-10-11,7020.0
2017-10-12,640.0
2017-10-13,7450.0
2017-10-14,6800.0
2017-10-15,0.0
2017-10-16,0.0
2017-10-17,1570.0
2017-10-18,100.0
2017-10-19,1440.0
2017-10-20,990.0
2017-10-21,3365.0
2017-10-22,0.0
2017-10-23,0.0
2017-10-24,0.0
2017-10-25,60.0
2017-10-26,0.0
2017-10-27,0.0
2017-10-28,310.0
2017-10-29,0.0
2017-10-30,0.0
2017-10-31,0.0
2017-11-01,0.0
2017-11-02,60.0
2017-11-03,0.0
2017-11-04,0.0
2017-11-05,0.0
2017-11-06,0.0
2017-11-07,0.0
2017-11-08,0.0
2017-11-09,0.0
2017-11-10,0.0
2017-11-11,0.0
2017-11-12,0.0
2017-11-13,0.0
2017-11-14,0.0
2017-11-15,0.0
2017-11-16,0.0
2017-11-17,0.0
2017-11-18,0.0
2017-11-19,0.0
2017-11-20,0.0
2017-11-21,0.0
2017-11-22,0.0
2017-11-23,0.0
2017-11-24,0.0
2017-11-25,0.0
2017-11-26,0.0
2017-11-27,0.0
2017-11-28,0.0
2017-11-29,0.0
2017-11-30,0.0
2017-12-01,0.0
2017-12-02,0.0
2017-12-03,0.0
2017-12-04,0.0
2017-12-05,0.0
2017-12-06,0.0
2017-12-07,0.0
2017-12-08,0.0
2017-12-09,0.0
2017-12-10,0.0
2017-12-11,0.0
2017-12-12,0.0
2017-12-13,0.0
2017-12-14,0.0
2017-12-15,0.0
2017-12-16,0.0
2017-12-17,0.0
2017-12-18,0.0
2017-12-19,0.0
2017-12-20,0.0
2017-12-21,0.0
2017-12-22,0.0
2017-12-23,0.0
2017-12-24,0.0
2017-12-25,0.0
2017-12-26,0.0
2017-12-27,0.0
2017-12-28,0.0
2017-12-29,0.0
2017-12-30,0.0
2017-12-31,0.0
2018-01-01,0.0
2018-01-02,0.0
2018-01-03,0.0
2018-01-04,920.0
2018-01-05,260.0
2018-01-06,1030.0
2018-01-07,0.0
2018-01-08,0.0
2018-01-09,0.0
2018-01-10,725.0
2018-01-11,0.0
2018-01-12,695.0
2018-01-13,0.0
2018-01-14,0.0
2018-01-15,520.0
2018-01-16,315.0
2018-01-17,0.0
2018-01-18,30.0
2018-01-19,0.0
2018-01-20,370.0
2018-01-21,0.0
2018-01-22,0.0
2018-01-23,190.0
2018-01-24,90.0
2018-01-25,440.0
2018-01-26,1155.0
2018-01-27,900.0
2018-01-28,0.0
2018-01-29,1400.0
2018-01-30,395.0
2018-01-31,4500.0
2018-02-01,4420.0
2018-02-02,4355.0
2018-02-03,6987.0
2018-02-04,0.0
2018-02-05,2760.0
2018-02-06,0.0
2018-02-07,7770.0
2018-02-08,9049.0
2018-02-09,8715.0
2018-02-10,19702.0
2018-02-11,0.0
2018-02-12,31496.0
2018-02-13,50551.0
2018-02-14,40790.0
2018-02-15,5605.0
2018-02-16,0.0
2018-02-17,0.0
2018-02-18,0.0
2018-02-19,45087.0
2018-02-20,59040.0
2018-02-21,53345.0
2018-02-22,0.0
2018-02-23,67419.0
2018-02-24,86483.0
2018-02-25,0.0
2018-02-26,75494.0
2018-02-27,52350.0
2018-02-28,53580.0
2018-03-01,68350.0
2018-03-02,101818.0
2018-03-03,96455.0
2018-03-04,0.0
2018-03-05,77783.0
2018-03-06,57369.0
2018-03-07,70878.0
2018-03-08,103279.0
2018-03-09,53195.0
2018-03-10,89825.0
2018-03-11,0.0
2018-03-12,66625.0
2018-03-13,49604.0
2018-03-14,70049.0
2018-03-15,88017.0
2018-03-16,77187.0
2018-03-17,127040.0
2018-03-18,0.0
2018-03-19,72635.0
2018-03-20,40675.0
2018-03-21,40454.0
2018-03-22,37409.0
2018-03-23,41868.0
2018-03-24,107286.0
2018-03-25,0.0
2018-03-26,41725.0
2018-03-27,50025.0
2018-03-28,74222.0
2018-03-29,97213.0
2018-03-30,128370.0
2018-03-31,108545.0
2018-04-01,0.0
2018-04-02,91781.0
2018-04-03,57906.0
2018-04-04,64611.0
2018-04-05,87400.0
2018-04-06,146523.0
2018-04-07,191643.0
2018-04-08,0.0
2018-04-09,85652.0
2018-04-10,101139.0
2018-04-11,136352.0
2018-04-12,166450.0
2018-04-13,246784.0
2018-04-14,276468.0
2018-04-15,0.0
2018-04-16,204442.0
2018-04-17,0.0
2018-04-18,238580.0
2018-04-19,241958.0
2018-04-20,307230.0
2018-04-21,361479.0
2018-04-22,0.0
2018-04-23,283647.0
2018-04-24,438109.0
2018-04-25,321229.0
2018-04-26,408199.0
2018-04-27,425379.0
2018-04-28,405507.0
2018-04-29,0.0
2018-04-30,276486.0
2018-05-01,325557.0
2018-05-02,451298.0
2018-05-03,475769.0
2018-05-04,650034.0
2018-05-05,458076.0
2018-05-06,0.0
2018-05-07,530650.0
2018-05-08,452864.0
