거래년월일,거래량
2015-12-22,0.0
2015-12-23,0.0
2015-12-24,0.0
2015-12-25,280.0
2015-12-26,0.0
2015-12-27,0.0
2015-12-28,0.0
2015-12-29,0.0
2015-12-30,0.0
2015-12-31,0.0
2016-01-01,0.0
2016-01-02,0.0
2016-01-03,0.0
2016-01-04,0.0
2016-01-05,0.0
2016-01-06,0.0
2016-01-07,0.0
2016-01-08,0.0
2016-01-09,0.0
2016-01-10,0.0
2016-01-11,0.0
2016-01-12,260.0
2016-01-13,0.0
2016-01-14,0.0
2016-01-15,480.0
2016-01-16,170.0
2016-01-17,0.0
2016-01-18,280.0
2016-01-19,325.0
2016-01-20,345.0
2016-01-21,210.0
2016-01-22,720.0
2016-01-23,1800.0
2016-01-24,0.0
2016-01-25,966.0
2016-01-26,1580.0
2016-01-27,2818.0
2016-01-28,5586.0
2016-01-29,6951.0
2016-01-30,12021.0
2016-01-31,150.0
2016-02-01,24342.0
2016-02-02,24368.0
2016-02-03,25020.0
2016-02-04,23349.0
2016-02-05,31381.0
2016-02-06,12639.0
2016-02-07,1005.0
2016-02-08,0.0
2016-02-09,0.0
2016-02-10,0.0
2016-02-11,8927.0
2016-02-12,23497.0
2016-02-13,21204.0
2016-02-14,0.0
2016-02-15,22153.0
2016-02-16,26829.0
2016-02-17,23975.0
2016-02-18,26374.0
2016-02-19,45906.0
2016-02-20,50551.0
2016-02-21,0.0
2016-02-22,78819.0
2016-02-23,45857.0
2016-02-24,65908.0
2016-02-25,82229.0
2016-02-26,109974.0
2016-02-27,90653.0
2016-02-28,0.0
2016-02-29,128674.0
2016-03-01,74867.0
2016-03-02,101008.0
2016-03-03,158577.0
2016-03-04,212620.0
2016-03-05,187745.0
2016-03-06,0.0
2016-03-07,309295.0
2016-03-08,262152.0
2016-03-09,247360.0
2016-03-10,212565.0
2016-03-11,171840.0
2016-03-12,146164.0
2016-03-13,0.0
2016-03-14,177420.0
2016-03-15,139320.0
2016-03-16,126011.0
2016-03-17,86940.0
2016-03-18,59977.0
2016-03-19,106359.0
2016-03-20,0.0
2016-03-21,138709.0
2016-03-22,90932.0
2016-03-23,60246.0
2016-03-24,66366.0
2016-03-25,95100.0
2016-03-26,150767.0
2016-03-27,0.0
2016-03-28,139672.0
2016-03-29,121116.0
2016-03-30,132350.0
2016-03-31,150796.0
2016-04-01,172121.0
2016-04-02,258743.0
2016-04-03,0.0
2016-04-04,319459.0
2016-04-05,280491.0
2016-04-06,264180.0
2016-04-07,193745.0
2016-04-08,208814.0
2016-04-09,254634.0
2016-04-10,0.0
2016-04-11,303483.0
2016-04-12,275177.0
2016-04-13,282276.0
2016-04-14,300276.0
2016-04-15,348714.0
2016-04-16,276840.0
2016-04-17,0.0
2016-04-18,415542.0
2016-04-19,360127.0
2016-04-20,475487.0
2016-04-21,429697.0
2016-04-22,475279.0
2016-04-23,551985.0
2016-04-24,0.0
2016-04-25,730424.0
2016-04-26,604239.0
2016-04-27,588945.0
2016-04-28,570883.0
2016-04-29,662868.0
2016-04-30,665004.0
2016-05-01,0.0
2016-05-02,1052461.0
2016-05-03,815984.0
2016-05-04,1011052.0
2016-05-05,1029230.0
2016-05-06,906255.0
2016-05-07,1117566.0
2016-05-08,0.0
2016-05-09,1359349.0
2016-05-10,1138869.0
2016-05-11,1342577.0
2016-05-12,1208064.0
2016-05-13,1223876.0
2016-05-14,830395.0
2016-05-15,0.0
2016-05-16,1055293.0
2016-05-17,1050173.0
2016-05-18,1192298.0
2016-05-19,1065557.0
2016-05-20,1050296.0
2016-05-21,995040.0
2016-05-22,0.0
2016-05-23,1263634.0
2016-05-24,939312.0
2016-05-25,986623.0
2016-05-26,814825.0
2016-05-27,935166.0
2016-05-28,974830.0
2016-05-29,0.0
2016-05-30,1216547.0
2016-05-31,1024004.0
2016-06-01,1071808.0
2016-06-02,998527.0
2016-06-03,946462.0
2016-06-04,917271.0
2016-06-05,0.0
2016-06-06,989961.0
2016-06-07,883192.0
2016-06-08,857933.0
2016-06-09,657186.0
2016-06-10,898520.0
2016-06-11,653260.0
2016-06-12,0.0
2016-06-13,1049496.0
2016-06-14,908285.0
2016-06-15,984692.0
2016-06-16,710137.0
2016-06-17,835865.0
2016-06-18,755073.0
2016-06-19,0.0
2016-06-20,915966.0
2016-06-21,944332.0
2016-06-22,823905.0
2016-06-23,831654.0
2016-06-24,812415.0
2016-06-25,763770.0
2016-06-26,0.0
2016-06-27,940310.0
2016-06-28,0.0
2016-06-29,995037.0
2016-06-30,1357674.0
2016-07-01,1359233.0
2016-07-02,1085300.0
2016-07-03,0.0
2016-07-04,872850.0
2016-07-05,766595.0
2016-07-06,848865.0
2016-07-07,803075.0
2016-07-08,0.0
2016-07-09,573849.0
2016-07-10,0.0
2016-07-11,524795.0
2016-07-12,645675.0
2016-07-13,594990.0
2016-07-14,509115.0
2016-07-15,554779.0
2016-07-16,133395.0
2016-07-17,0.0
2016-07-18,0.0
2016-07-19,423825.0
2016-07-20,381895.0
2016-07-21,416311.0
2016-07-22,173325.0
2016-07-23,277029.0
2016-07-24,0.0
2016-07-25,607353.0
2016-07-26,206757.0
2016-07-27,522200.0
2016-07-28,163790.0
2016-07-29,326666.0
2016-07-30,305194.0
2016-07-31,0.0
2016-08-01,0.0
2016-08-02,256152.0
2016-08-03,308133.0
2016-08-04,358157.0
2016-08-05,339655.0
2016-08-06,121699.0
2016-08-07,0.0
2016-08-08,478073.0
2016-08-09,359286.0
2016-08-10,407459.0
2016-08-11,425341.0
2016-08-12,0.0
2016-08-13,444093.0
2016-08-14,0.0
2016-08-15,451304.0
2016-08-16,433181.0
2016-08-17,363161.0
2016-08-18,394220.0
2016-08-19,348170.0
2016-08-20,344544.0
2016-08-21,0.0
2016-08-22,316600.0
2016-08-23,241580.0
2016-08-24,225382.0
2016-08-25,200604.0
2016-08-26,169865.0
2016-08-27,225994.0
2016-08-28,0.0
2016-08-29,163345.0
2016-08-30,146942.0
2016-08-31,102969.0
2016-09-01,128449.0
2016-09-02,96501.0
2016-09-03,115892.0
2016-09-04,0.0
2016-09-05,87622.0
2016-09-06,90210.0
2016-09-07,61543.0
2016-09-08,97578.0
2016-09-09,110918.0
2016-09-10,186240.0
2016-09-11,2340.0
2016-09-12,223059.0
2016-09-13,93640.0
2016-09-14,6040.0
2016-09-15,0.0
2016-09-16,0.0
2016-09-17,0.0
2016-09-18,0.0
2016-09-19,86290.0
2016-09-20,130709.0
2016-09-21,84365.0
2016-09-22,125055.0
2016-09-23,91380.0
2016-09-24,97854.0
2016-09-25,0.0
2016-09-26,66875.0
2016-09-27,107616.0
2016-09-28,38430.0
2016-09-29,68690.0
2016-09-30,62367.0
2016-10-01,61309.0
2016-10-02,0.0
2016-10-03,24330.0
2016-10-04,0.0
2016-10-05,21970.0
2016-10-06,33826.0
2016-10-07,31410.0
2016-10-08,39560.0
2016-10-09,0.0
2016-10-10,13400.0
2016-10-11,17805.0
2016-10-12,5090.0
2016-10-13,18480.0
2016-10-14,3440.0
2016-10-15,12650.0
2016-10-16,0.0
2016-10-17,2190.0
2016-10-18,0.0
2016-10-19,410.0
2016-10-20,4870.0
2016-10-21,0.0
2016-10-22,5480.0
2016-10-23,0.0
2016-10-24,1874.0
2016-10-25,3510.0
2016-10-26,0.0
2016-10-27,2080.0
2016-10-28,0.0
2016-10-29,0.0
2016-10-30,0.0
2016-10-31,510.0
2016-11-01,2090.0
2016-11-02,0.0
2016-11-03,0.0
2016-11-04,110.0
2016-11-05,280.0
2016-11-06,0.0
2016-11-07,780.0
2016-11-08,720.0
2016-11-09,0.0
2016-11-10,0.0
2016-11-11,0.0
2016-11-12,100.0
2016-11-13,0.0
2016-11-14,780.0
2016-11-15,0.0
2016-11-16,0.0
2016-11-17,0.0
2016-11-18,130.0
2016-11-19,0.0
2016-11-20,0.0
2016-11-21,1520.0
2016-11-22,0.0
2016-11-23,0.0
2016-11-24,0.0
2016-11-25,0.0
2016-11-26,780.0
2016-11-27,0.0
2016-11-28,40.0
2016-11-29,0.0
2016-11-30,0.0
2016-12-01,620.0
2016-12-02,0.0
2016-12-03,0.0
2016-12-04,0.0
2016-12-05,0.0
2016-12-06,0.0
2016-12-07,0.0
2016-12-08,0.0
2016-12-09,0.0
